setting_id,n_estimators,max_features,min_samples_leaf,class_weight,overall_agreement_s1s2,balanced_accuracy_s1s2,macro_f1_s1s2,weighted_f1_s1s2,overall_agreement_s2_only,balanced_accuracy_s2_only,macro_f1_s2_only,weighted_f1_s2_only,overall_agreement_delta,s1s2_better_overall_agreement,balanced_accuracy_delta,s1s2_better_balanced_accuracy,macro_f1_delta,s1s2_better_macro_f1,weighted_f1_delta,s1s2_better_weighted_f1
rf_16,500,sqrt,3,balanced_subsample,0.7864190365641324,0.7865194414794872,0.7868123817470728,0.7867507150025485,0.7051654091700522,0.7046569688599734,0.7049049974064177,0.7051531172141401,0.08125362739408015,True,0.08186247261951374,True,0.08190738434065514,True,0.08159759778840836,True
rf_17,500,sqrt,5,balanced,0.783517121300058,0.7836587273136031,0.7841848342715603,0.7840941661342677,0.7005223447475334,0.699912674323299,0.6997950060524469,0.7001089116327668,0.08299477655252463,True,0.08374605299030413,True,0.08438982821911334,True,0.08398525450150096,True
rf_18,500,sqrt,5,balanced_subsample,0.783517121300058,0.7836764656578197,0.7844256825306537,0.7843651953505846,0.7011027278003482,0.7005686940623463,0.7006698818764917,0.7009433272404516,0.0824143934997098,True,0.08310777159547333,True,0.083755800654162,True,0.08342186811013297,True
rf_19,500,log2,1,balanced,0.7864190365641324,0.7864701338081164,0.7871299925277608,0.7870333357638984,0.7074869413813116,0.7070987362082602,0.7084331230225356,0.7086271007881884,0.07893209518282074,True,0.07937139759985612,True,0.07869686950522525,True,0.07840623497571009,True
rf_20,500,log2,1,balanced_subsample,0.7852582704585026,0.7852999090113444,0.7854179013681271,0.7853207406157976,0.7127103888566454,0.7122705356713509,0.7131100046916548,0.7133318792906524,0.07254788160185721,True,0.07302937333999349,True,0.0723078966764723,True,0.07198886132514515,True
rf_21,500,log2,3,balanced,0.788160185722577,0.788283779371471,0.7888043247672623,0.7887236546963369,0.7005223447475334,0.7000129221194303,0.699911710127519,0.7002182221804383,0.08763784097504357,True,0.08827085725204065,True,0.0888926146397433,True,0.0885054325158986,True
rf_22,500,log2,3,balanced_subsample,0.787579802669762,0.7877284651215042,0.7885991000414345,0.7885269621922465,0.7045850261172374,0.7041570199624531,0.7041184037926582,0.7043631170938393,0.08299477655252463,True,0.08357144515905113,True,0.0844806962487763,True,0.08416384509840724,True
rf_23,500,log2,5,balanced,0.788160185722577,0.7881954637683493,0.7887127356835353,0.7887007560288306,0.7028438769587928,0.7023877578564675,0.7025623876693115,0.7026947630049385,0.08531630876378415,True,0.0858077059118818,True,0.08615034801422383,True,0.08600599302389211,True
rf_24,500,log2,5,balanced_subsample,0.7829367382472432,0.7830841584508088,0.7838060830429681,0.7837123020934225,0.6993615786419036,0.6988603488491378,0.6989295776559536,0.6992209054954618,0.08357515960533957,True,0.08422380960167097,True,0.08487650538701441,True,0.08449139659796068,True
rf_25,800,sqrt,1,balanced,0.791642484039466,0.7917572888238888,0.7922854766147565,0.7921472418690791,0.7109692396982008,0.7104734952653593,0.7111597031058512,0.7114683359203756,0.08067324434126522,True,0.08128379355852955,True,0.08112577350890526,True,0.08067890594870353,True
