setting_id,n_estimators,max_features,min_samples_leaf,class_weight,class,f1_score_s1s2,user_accuracy_s1s2,producer_accuracy_s1s2,support_s1s2,f1_score_s2_only,user_accuracy_s2_only,producer_accuracy_s2_only,support_s2_only,f1_score_delta,user_accuracy_delta,producer_accuracy_delta
rf_10,300,log2,3,balanced_subsample,Beet (sugar beet / fodder beet),0.8264840182648402,0.8418604651162791,0.8116591928251121,223.0,0.7681498829039812,0.803921568627451,0.7354260089686099,223.0,0.05833413536085896,0.03793889648882809,0.07623318385650224
rf_10,300,log2,3,balanced_subsample,Maize,0.6863636363636364,0.6771300448430493,0.695852534562212,217.0,0.6242038216560509,0.5787401574803149,0.6774193548387096,217.0,0.06215981470758547,0.09838988736273435,0.018433179723502335
rf_10,300,log2,3,balanced_subsample,Oilseed rape,0.8968824940047961,0.8904761904761904,0.9033816425120773,207.0,0.8109452736318408,0.8358974358974359,0.7874396135265701,207.0,0.08593722037295537,0.054578754578754496,0.1159420289855072
rf_10,300,log2,3,balanced_subsample,Potatoes,0.7942583732057417,0.8097560975609757,0.7793427230046949,213.0,0.6766169154228856,0.7195767195767195,0.6384976525821596,213.0,0.11764145778285606,0.09017937798425613,0.14084507042253525
rf_10,300,log2,3,balanced_subsample,Pulses / field beans and peas,0.669683257918552,0.6434782608695652,0.6981132075471698,212.0,0.504950495049505,0.53125,0.4811320754716981,212.0,0.16473276286904703,0.11222826086956517,0.21698113207547165
rf_11,300,log2,5,balanced,Winter wheat,0.8048780487804879,0.825,0.7857142857142857,210.0,0.728538283062645,0.7104072398190046,0.7476190476190476,210.0,0.07633976571784284,0.1145927601809954,0.03809523809523807
rf_11,300,log2,5,balanced,Winter barley,0.7917620137299771,0.7972350230414746,0.7863636363636364,220.0,0.7346938775510204,0.7330316742081447,0.7363636363636363,220.0,0.057068136178956674,0.0642033488333299,0.050000000000000044
rf_11,300,log2,5,balanced,Spring barley,0.8435374149659864,0.8454545454545455,0.8416289592760181,221.0,0.7610993657505285,0.7142857142857143,0.8144796380090498,221.0,0.08243804921545794,0.13116883116883116,0.02714932126696834
rf_11,300,log2,5,balanced,Beet (sugar beet / fodder beet),0.8318181818181818,0.8433179723502304,0.820627802690583,223.0,0.7594339622641509,0.8009950248756219,0.7219730941704036,223.0,0.07238421955403085,0.04232294747460852,0.09865470852017943
rf_11,300,log2,5,balanced,Maize,0.6894977168949772,0.6832579185520362,0.695852534562212,217.0,0.6231578947368421,0.5736434108527132,0.6820276497695853,217.0,0.06633982215813505,0.10961450769932302,0.013824884792626668
rf_11,300,log2,5,balanced,Oilseed rape,0.8926014319809069,0.8820754716981132,0.9033816425120773,207.0,0.8181818181818182,0.8571428571428571,0.782608695652174,207.0,0.07441961379908868,0.024932614555256083,0.12077294685990336
rf_11,300,log2,5,balanced,Potatoes,0.7788461538461539,0.7980295566502463,0.7605633802816901,213.0,0.6799007444168734,0.7210526315789474,0.6431924882629108,213.0,0.09894540942928043,0.07697692507129894,0.11737089201877937
rf_11,300,log2,5,balanced,Pulses / field beans and peas,0.651685393258427,0.6223175965665236,0.6839622641509434,212.0,0.5161290322580645,0.5445026178010471,0.49056603773584906,212.0,0.1355563610003625,0.0778149787654765,0.19339622641509435
rf_12,300,log2,5,balanced_subsample,Winter wheat,0.8,0.8307692307692308,0.7714285714285715,210.0,0.7351598173515982,0.706140350877193,0.7666666666666667,210.0,0.06484018264840186,0.12462887989203786,0.004761904761904745
rf_12,300,log2,5,balanced_subsample,Winter barley,0.7835990888382688,0.7853881278538812,0.7818181818181819,220.0,0.7344110854503464,0.7464788732394366,0.7227272727272728,220.0,0.0491880033879224,0.03890925461444461,0.05909090909090908
rf_12,300,log2,5,balanced_subsample,Spring barley,0.8366890380313199,0.827433628318584,0.8461538461538461,221.0,0.7567567567567568,0.7,0.8235294117647058,221.0,0.07993228127456309,0.12743362831858407,0.022624434389140302
rf_12,300,log2,5,balanced_subsample,Beet (sugar beet / fodder beet),0.8272727272727273,0.8387096774193549,0.8161434977578476,223.0,0.7630331753554502,0.8090452261306532,0.7219730941704036,223.0,0.06423955191727704,0.029664451288701654,0.094170403587444
rf_12,300,log2,5,balanced_subsample,Maize,0.6863636363636364,0.6771300448430493,0.695852534562212,217.0,0.6050420168067226,0.555984555984556,0.663594470046083,217.0,0.08132161955691375,0.1211454888584933,0.032258064516129004
rf_12,300,log2,5,balanced_subsample,Oilseed rape,0.8952380952380953,0.8826291079812206,0.9082125603864735,207.0,0.8131313131313131,0.8518518518518519,0.7777777777777778,207.0,0.08210678210678213,0.03077725612936877,0.13043478260869568
rf_12,300,log2,5,balanced_subsample,Potatoes,0.7884615384615384,0.8078817733990148,0.7699530516431925,213.0,0.6766917293233082,0.7258064516129032,0.6338028169014085,213.0,0.1117698091382302,0.08207532178611154,0.136150234741784
rf_12,300,log2,5,balanced_subsample,Pulses / field beans and peas,0.6605922551252847,0.6387665198237885,0.6839622641509434,212.0,0.48877805486284287,0.5185185185185185,0.46226415094339623,212.0,0.17181420026244187,0.12024800130527002,0.22169811320754718
rf_13,500,sqrt,1,balanced,Winter wheat,0.8108108108108109,0.8375634517766497,0.7857142857142857,210.0,0.7429906542056075,0.7293577981651376,0.7571428571428571,210.0,0.06782015660520335,0.10820565361151213,0.02857142857142858
