class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Maize,0.6832579185520362,0.695852534562212,0.6894977168949772,217.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8857142857142857,0.8985507246376812,0.8920863309352518,207.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7990196078431373,0.7652582159624414,0.7817745803357314,213.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6375545851528385,0.6886792452830188,0.6621315192743764,212.0,rf_04,300,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7214611872146118,0.7523809523809524,0.7365967365967366,210.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7477064220183486,0.740909090909091,0.7442922374429224,220.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.690566037735849,0.8280542986425339,0.7530864197530864,221.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8247422680412371,0.7174887892376681,0.7673860911270983,223.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5601503759398496,0.6866359447004609,0.6169772256728778,217.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8489583333333334,0.7874396135265701,0.8170426065162907,207.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.732620320855615,0.6431924882629108,0.685,213.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.532967032967033,0.45754716981132076,0.49238578680203043,212.0,rf_05,300,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8256410256410256,0.7666666666666667,0.7950617283950617,210.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7802690582959642,0.7909090909090909,0.7855530474040632,220.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8447488584474886,0.8371040723981901,0.8409090909090909,221.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8363636363636363,0.8251121076233184,0.8306997742663657,223.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6696428571428571,0.6912442396313364,0.6802721088435374,217.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8826291079812206,0.9082125603864735,0.8952380952380953,207.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.81,0.7605633802816901,0.784503631961259,213.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6375545851528385,0.6886792452830188,0.6621315192743764,212.0,rf_05,300,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7142857142857143,0.7619047619047619,0.7373271889400922,210.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7488372093023256,0.7318181818181818,0.7402298850574712,220.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7027027027027027,0.8235294117647058,0.7583333333333333,221.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8190954773869347,0.7309417040358744,0.7725118483412322,223.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
