grid_id,grid_area_ha,selected_crop_area_ha,selected_crop_intensity,retained_for_clustering,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas
g0069,9941.214272597386,7124.560822378275,0.716669073517194,True,0.5801374451764316,0.102426976366505,0.03938377734330352,0.09539778262258197,0.005985912485445685,0.03800257326335214,0.03255349691098011,0.10611203583140004
g0070,5251.277324092897,3802.619434203564,0.7241322823986308,True,0.57049630406924,0.032182972375406696,0.09792437324867864,0.1327673800703905,0.0028139719194182665,0.03366574849612975,0.05540595957795551,0.07474329024278054
g0074,7082.230445693341,3725.720361135846,0.526065960392666,True,0.4189355620925488,0.2002243688252699,0.21219068458284945,0.005484656302231718,0.002278538163870018,0.0676927666688897,0.0,0.09319342336434051
g0075,10000.0,5445.983510266722,0.5445983510266722,True,0.5720667730399507,0.13227795642140283,0.058808238132314575,0.018565150164807684,0.023622167772935798,0.11411305630616195,0.005732119095735397,0.07481453906669114
g0076,10000.0,2566.554862785495,0.2566554862785495,True,0.3921258405321274,0.16160447999302202,0.12190912111759411,0.13779392799669968,0.01699183641832952,0.07853888929943781,0.05553624819779946,0.035499656444990084
g0077,10000.0,5279.7967639706785,0.5279796763970679,True,0.4039592647238445,0.10172881988027452,0.09690936993260103,0.1910772822092674,0.053287032911297244,0.0,0.13249197030401025,0.020546260038704807
g0078,10000.0,6378.234404374396,0.6378234404374395,True,0.5004167807998077,0.026928906397204168,0.018431501937578344,0.16598139179638927,0.09485547112153553,0.03262878424800034,0.12472179631832479,0.036035367381159755
g0079,10000.0,5547.325416529641,0.5547325416529642,True,0.4466907352525616,0.01989814204410815,0.021384493437705727,0.13903312619414865,0.09560432289336387,0.0937938308383086,0.15354504967705615,0.030050299662747325
g0080,9957.242137463218,5534.466214640042,0.5558232026734709,True,0.4204332969585562,0.16449525947108412,0.108965372172465,0.1123862096972477,0.05828326170008031,0.044453479215786476,0.028872572426835035,0.06211054835794508
g0081,9921.294058008583,3948.8845062870805,0.3980211132941368,True,0.4761903991104155,0.1231370417125237,0.13926182009376997,0.10461991104325151,0.021392219381924437,0.030837058917135476,0.044373488063755795,0.06018806167722365
g0082,9534.091314772251,2965.5328375940903,0.31104514732298116,True,0.5107953663424335,0.14788434895824432,0.05871212904062288,0.17274352930644413,0.009085228200065232,0.025065422936142622,0.03736372315332806,0.038350252062719255
g0083,4686.020005531807,1431.6259611536755,0.3055099977088559,True,0.38190406789974624,0.14948375146541593,0.16943525458510464,0.14396497911844092,0.07676548769597999,0.04708710444724893,0.0197232073206613,0.011636147467402262
g0084,923.3275876420659,285.5902190486041,0.3093054110707619,False,0.1597044108602341,0.16933336354675202,0.2766176915862529,0.23318516240850512,0.0,0.025193232465726124,0.11981926517835913,0.01614687395417065
g0086,5933.815780303773,3810.6033240439465,0.6421842984564088,True,0.5689769442983867,0.13940975664689112,0.08698332934062127,0.009600776511273322,0.009802530352935778,0.10304794900710651,0.0,0.0821787138427852
g0087,10000.0,5841.919628579345,0.5841919628579345,True,0.4807060837785638,0.16496185354164902,0.17744047546992417,0.016287721309683364,0.00924942691128631,0.0953753860240826,0.0,0.05597905296481076
g0088,10000.0,6209.237176833275,0.6209237176833275,True,0.44650239692485727,0.14344526911087274,0.05818560538679218,0.10758491737274577,0.08517876015252229,0.08057118012533347,0.060179375846894693,0.018352495079981473
g0089,10000.0,2424.49835054548,0.242449835054548,True,0.1273577355897495,0.37541331100411035,0.09353295915443152,0.08299545234435529,0.054410209133790965,0.006398144612983297,0.2109668471620748,0.04892534099850418
g0090,10000.0,1593.4835168385607,0.15934835168385608,True,0.2973000297821444,0.16806712368095003,0.08542529956895338,0.21055690188791476,0.08378688504360084,0.0,0.10574563115342726,0.049118128883009204
