grid_id,grid_area_ha,area_winter_wheat_ha,area_winter_barley_ha,area_spring_barley_ha,area_beet_sugar_beet___fodder_beet_ha,area_maize_ha,area_oilseed_rape_ha,area_potatoes_ha,area_pulses___field_beans_and_peas_ha,selected_crop_area_ha,selected_crop_intensity,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas,retained_for_clustering
g0020,8765.668668096037,2111.2815601359694,412.59295186688945,455.20057389458555,281.3344222928483,36.17851539298444,435.11457786216505,197.0967295850997,253.70036053748774,4182.499691568029,0.4771455378858732,0.5047894120332725,0.09864745541970556,0.108834574408284,0.06726466061910821,0.008649974431778385,0.10403218408822872,0.04712414683076944,0.06065759216885318,True
g0025,297.3950955598039,102.53115119140386,12.663693728872001,25.964284951329482,25.54355468287647,2.599363114461146,0.0,0.0,36.96239244103134,206.26444010997432,0.693570415886351,0.4970859307437442,0.06139542871335496,0.1258786290913066,0.1238388675685318,0.012602090370377171,0.0,0.0,0.1791990535126852,False
g0026,3057.308102833063,1445.0996581161753,182.69770698026483,268.503758088063,110.17539437660852,0.20601653043761403,235.01790076214922,0.0,237.91722255401726,2479.617657407716,0.8110460490095752,0.582791324218483,0.07367978947660173,0.10828433863016075,0.044432412411432,8.308399072016262e-05,0.09477989481968992,0.0,0.09594915645291248,True
g0027,8914.31010266768,3068.1927679971286,914.4810557170018,564.9614779727359,0.0,100.66403263592856,723.640572672045,0.0,402.83898831499,5774.77889530983,0.6478099627229347,0.5313091329763394,0.15835776092825418,0.09783257302397973,0.0,0.017431668720284003,0.12531052457433006,0.0,0.06975833977681266,True
g0028,10000.0,4012.5881693811057,509.5414300144898,489.45469432468747,0.0,68.62114629201562,1027.7401766737557,9.583358665271287,413.97761277660976,6531.506588127936,0.6531506588127937,0.6143434313722702,0.07801284789954331,0.07493748765627062,0.0,0.010506174244200504,0.1573511658920836,0.0014672508610326725,0.06338164207459894,True
g0029,10000.0,2760.5557335558406,487.60088590532166,426.5322795584188,13.004500643899982,21.758313815247444,463.9759501446969,24.509748217031067,391.48873100810744,4589.426142848564,0.45894261428485644,0.6015034663663679,0.10624441285870168,0.09293804198659111,0.0028335788046538538,0.00474096611166783,0.10109672444945729,0.005340482111303432,0.08530232731125689,True
g0030,10000.0,2715.11346968709,380.4328287517637,431.05199740641353,333.1707740040902,265.43485320831087,516.0440819927128,214.3246472680748,849.0888812640105,5704.661533582466,0.5704661533582466,0.47594646127620965,0.06668806317644159,0.07556136238212847,0.05840325005134223,0.046529465709005985,0.09046007005934367,0.03757009000558202,0.14884123733994642,True
g0031,9995.635239873554,2511.523889021729,315.0186242111421,503.2259647302369,492.99716715944925,169.0296784389273,169.90902252135012,375.8660082738121,596.6615801386951,5134.231934495343,0.513647388213447,0.489172269789287,0.06135652386379893,0.09801387454844311,0.09602160039696517,0.03292209635160194,0.03309336716555072,0.07320783577159472,0.11621243211275817,True
g0032,8708.436672061216,2846.763028327378,359.2972966975283,529.5874124646759,468.2346168821603,236.53678298759218,565.3751986905978,250.36184652938036,643.6642416937716,5899.820424273084,0.677483301130402,0.4825168943473609,0.06089970047551019,0.08976331047057695,0.07936421504555394,0.04009220043620833,0.09582922157503761,0.042435502867060125,0.10909895478269194,True
g0037,221.71389100706008,87.10088235564345,0.0,45.795399810902325,12.504471021581699,0.0,0.0,0.0,34.52333477367353,179.924087961801,0.8115147280333087,0.4840979512100431,0.0,0.2545262300877966,0.06949859334141227,0.0,0.0,0.0,0.19187722536074797,False
g0038,9021.358159497786,3546.892840289205,875.9948773198934,456.40750005181957,262.70369797320836,2.0262664665317787,284.7841654019042,58.47151545034674,510.4938744703994,5997.774737423308,0.6648416603556289,0.5913681316102544,0.14605331404897473,0.0760961389903576,0.043800194151017414,0.00033783637352847285,0.04748163741878872,0.00974886820698881,0.08511387920009009,True
